year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2,SF6
1990,Annual,25,Area,0,0.433097,0,0,0,0,0,0,0,0,0
1990,Annual,27,Area,0,1.758441,0,0,0,0,0,0,0,0,0
1990,Annual,29,Area,5.657949,0.867768,0,0,0,216.636047,0,0,0,0,0
1990,Annual,31,Area,0,0.677066,0,0,0,22.675953,0,0,0,0,0
1990,Annual,32,Area,0,0.464755,0,0,0,0,0,0,0,0,0
1990,Annual,33,Area,0,0,0,0,0,0,0,0,0,8.857119,0
1990,Annual,35,Area,0.099141,0,0,0,0,0,0,0,0,0,0
1990,Annual,37,Area,0,4.046415,0,0,0,0,0,0,0,0,0
1990,Annual,39,Area,2.132376,0,0,0,0,0,0,0,0,0,0
1990,Annual,42,Area,0.917118,0,0,0,0,0,0,0,0,0,0
1990,Annual,46,Area,0,0.220812,0,0,0,0,0,0,0,0,0
1990,Annual,48,Area,0,0.070963,0,0,0,0,0.014193,0,0,0,0
1990,Annual,49,Area,0,0.360434,0,0,0,0,0.288193,0,0,0,0
1990,Annual,50,Area,0,0,0,0,0,0,0.184618,1.774069,0,0,0
1990,Annual,52,Area,0,0.1,0,0,0,0,0,0,0,0,0
1990,Annual,61,Area,0,14.851336,0,0,0,0,6.494249,0,0,0,0
1990,Annual,66,Area,0,1.454702,0,0,0,0,0,0,0,0,0
1990,Annual,67,Area,0,0.004176,0,0,0,0,0,0,0,0,0
1990,Annual,68,Area,0,0.292828,0,0,0,0,0,0,0,0,0
1990,Annual,69,Area,0,0.008351,0,0,0,0,0,0,0,0,0
1990,Annual,71,Area,0,0.039668,0,0,0,0,0,0,0,0,0
1990,Annual,72,Area,0,2.50973,0,0,0,0,0,0,0,0,0
1990,Annual,73,Area,0,0.006045,0,0,0,0,0,0,0,0,0
1990,Annual,75,Area,0,0.041756,0,0,0,0,0,0,0,0,0
1990,Annual,76,Area,0,2.92828,0,0,0,0,0,0,0,0,0
1990,Annual,77,Area,0,0.083512,0,0,0,0,0,0,0,0,0
1990,Annual,79,Area,0,0.753004,0,0,0,0,0,0,0,0,0
1990,Annual,80,Area,0,1.587954,0,0,0,0,0,0,0,0,0
1990,Annual,81,Area,0,0.808448,0,0,0,0,0,0,0,0,0
