year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2,SF6
1990,Annual,10,Point,1.12,0.77,0.31,24.970001,0,0,0,0,0,0,0
1990,Annual,11,Point,0,7.53,0,0,0,0,0,0,0,0,0
1990,Annual,12,Point,0,0.350062,0,0,0,0,0,0,0,0,0
1990,Annual,13,Point,0,0.99,0,0,0,0,0,0,0,0,0
1990,Annual,14,Point,0,0.013564,0,0,0,0,0,0,0,0,0
1990,Annual,15,Point,0.09,15.309999,2.21,12.65,0.79,1900.407227,1.856893,0.00382,0,0,0
1990,Annual,16,Point,0.065949,0.185021,0.025844,0.01996,0.034838,8071.297852,0,0,0,0,0
1990,Annual,17,Point,0,10.914762,0,0,0,0,0,0,0,0,0
1990,Annual,18,Point,0,2.301396,0,0,0,0,0,0,0,0,0
1990,Annual,19,Point,0,1.193947,0,0,0,0,0,0,0,0,0
1990,Annual,20,Point,0,0.002158,0,0,0,0,0,0,0,0,0
1990,Annual,21,Point,0.005718,0.020425,0.046945,0.86684,0.034328,0,0,0,0,0,0
1990,Annual,22,Point,0.126672,0.000428,0,1.7518,0,0,0,0,0,0,0
1990,Annual,23,Point,0.047545,0.596663,0,0,0,0,0,0,0,0,0
1990,Annual,24,Point,0.001372,0.010369,0,0,0,0,0,0,0,0,0
1990,Annual,25,Point,0.001635,0.034543,0,0,0,0,0,0,0,0,0
1990,Annual,26,Point,1.019349,0.546126,1.670397,4.547554,26.948914,0,0,0,0,0,0
1990,Annual,28,Point,0.004989,0.596775,0,0,0,0,0,0,0,0,0
1990,Annual,31,Point,0.000011,0.003706,0,0,0,0,0,0,0,0,0
1990,Annual,32,Point,0.046114,0.054324,0.000247,0,0.001358,0,0,0,0,0,0
1990,Annual,33,Point,1.172853,0.206197,0.014393,0.00985,0.116096,0,0,0,0,101.401306,0
1990,Annual,34,Point,1.464221,0.206196,0.030311,0.000027,0,0,0,0,0,0,0
1990,Annual,35,Point,0.032365,0,0,0,0,0,0,0,0,0,0
1990,Annual,36,Point,0.714687,0.018381,0.039357,0.004708,0.155545,1553.818604,0,0,0,0,0
1990,Annual,38,Point,1.244826,0.049898,0.03693,0.00477,0.154594,0,0,0,0,0,0
1990,Annual,39,Point,0.797476,0,0,0,0,0,0,0,0,0,0
1990,Annual,40,Point,2.81251,0.057211,0.067072,0.337072,0.012211,0,0,0,0,0,0
1990,Annual,41,Point,5.63348,0.017172,0.019422,0.000165,0.117517,0,0,0,0,0,0
1990,Annual,42,Point,0.057665,0,0,0,0,0,0,0,0,0,0
1990,Annual,43,Point,0.052284,1.135837,0,0,0,0,0,0,0.000254,0,0
1990,Annual,44,Point,0,0.065431,0,0,0,0,0,0,0,0,0
1990,Annual,45,Point,0,0.795307,0,0,0,0,0,0,0,0,0
1990,Annual,46,Point,0.000473,0.005457,0,0,0,0,0,0,0,0,0
1990,Annual,47,Point,0.037737,0.213378,0,0,0,0,0,0,0,0,0
1990,Annual,48,Point,0,0.006248,0.015885,0,0,0,0,0,0,0,0
1990,Annual,49,Point,0,0.003369,0,0,0,0,0,0,0,0,0
